Web	Ecotype	Latitude	Species	Links	Connectance	LS	LinkSD	Gen	GenSD	Vul	VulSD	Path	Basal	Herbivores	Intermediate	Toppreds	Treehole
WEB38.web	lake	11.61083333	31	190	0.197710718	6.129032258	4.217795904	3.392857143	2.554258149	3.064516129	4.85223915	0.132258065	0.096774194	0.290322581	0.35483871	0.548387097	No
WEB39.web	lake	11.61083333	37	152	0.111029949	4.108108108	2.929659917	2.533333333	2.232089206	2.054054054	3.092676143	0.105105105	0.189189189	0.243243243	0.27027027	0.540540541	No
WEB46.web	lake	33.9	19	136	0.376731302	7.157894737	3.572750052	5.666666667	3.566822427	3.578947368	2.369005776	0.350877193	0.368421053	0.105263158	0.526315789	0.105263158	No
WEB58.web	lake	51.76666667	18	44	0.135802469	2.444444444	1.383322178	1.692307692	0.721602425	1.222222222	0.916245695	0.549019608	0.277777778	0.222222222	0.5	0.222222222	No
WEB71.web	lake	48	16	64	0.25	4	1.541103501	2.461538462	1.008836696	2	1.457737974	0.679166667	0.1875	0.125	0.75	0.0625	No
WEB72.web	lake	46.03333333	17	64	0.221453287	3.764705882	1.766665579	2.666666667	1.247219129	1.882352941	1.277974175	0.533088235	0.294117647	0.235294118	0.588235294	0.117647059	No
WEB75.web	lake	47.18333333	9	28	0.345679012	3.111111111	1.369869778	2.333333333	1.105541597	1.555555556	1.065740339	0.444444444	0.333333333	0.222222222	0.555555556	0.111111111	No
WEB76.web	lake	47.8	14	34	0.173469388	2.428571429	0.979379229	1.545454545	0.78202957	1.214285714	1.012674777	1.333333333	0.214285714	0.285714286	0.5	0.285714286	No
WEB78.web	lake	0	16	54	0.2109375	3.375	1.363589014	1.928571429	1.334395835	1.6875	1.260890063	0.295833333	0.125	0.375	0.6875	0.1875	No
WEB84.web	lake	42.47833333	12	46	0.319444444	3.833333333	1.343709625	2.3	1.1	1.916666667	1.187317237	0.598484848	0.166666667	0.25	0.666666667	0.166666667	No
